,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Execution Time,Maximum Trip Time
0,0,12,22,7,40,3,3,0.042,154.0
1,1,12,26,9,40,4,3,0.052,149.0
2,10,22,45,16,38,8,5,0.176,34.0
3,11,13,23,7,60,3,3,0.037,361.0
4,12,10,28,9,198,4,3,0.061,63.0
5,13,7,21,8,16,4,2,0.029,16.0
6,14,7,21,8,12,4,2,0.035,32.0
7,15,8,28,10,16,5,2,0.051,16.0
8,16,8,28,10,14,5,2,0.055,13.0
9,17,9,36,13,16,6,2,0.094,16.0
10,18,8,11,3,18,1,2,0.005,64.0
11,19,11,22,8,18,4,3,0.036,60.0
12,2,12,22,8,40,4,3,0.03,138.0
13,20,11,33,11,18,5,3,0.078,52.0
14,21,11,44,14,18,7,3,0.18,48.0
15,22,11,55,18,16,9,3,0.284,44.0
16,3,11,19,5,40,2,3,0.018,244.0
17,4,13,26,7,44,3,3,0.031,166.0
18,5,12,22,7,44,3,3,0.028,163.0
19,6,12,22,8,40,4,3,0.025,149.0
20,7,27,46,13,18,6,6,0.06,66.0
21,8,27,51,16,18,8,6,0.187,103.0
22,9,12,25,9,38,4,3,0.036,127.0
